Rank,Score,Stat,Season,lgID
2,0.08164022139743132,R/PA,1989,AL
3,0.07307711992775917,Pos_SS,1989,AL
4,0.06068018512577408,OBP,1989,AL
5,0.05216830186982509,RBI/PA,1989,AL
6,0.049176177955843496,SB,1989,AL
7,0.04083142711285308,FP,1989,AL
8,0.03832669648371011,AVG,1989,AL
9,0.035590662423949905,HR/PA,1989,AL
0,0.26137605795886326,R/PA,1990,AL
1,0.15789919521121987,SLG,1990,AL
2,0.1308142641652415,K/9,1990,AL
3,0.056089130260387816,FP,1990,AL
4,0.05231976307662359,SV,1990,AL
5,0.04788592841618788,RBI/PA,1990,AL
6,0.03557584739666204,G_pit,1990,AL
7,0.035428695275354305,SB,1990,AL
8,0.03193176114120862,HR/PA,1990,AL
9,0.027553667047806325,OBP,1990,AL
0,0.2618972583723274,HR/PA,1991,AL
1,0.1682058865221821,RBI/PA,1991,AL
2,0.11096302736567709,Pos_SS,1991,AL
3,0.10570371716798116,PA,1991,AL
4,0.09085984133028142,SLG,1991,AL
5,0.0804483527873982,SB,1991,AL
6,0.04229079714164959,OBP,1991,AL
7,0.032769762295933154,FP,1991,AL
8,0.031706498464297954,AVG,1991,AL
9,0.022601775459713206,Pos_1B,1991,AL
0,0.27589105952234366,FP,1992,AL
1,0.13155719109868688,R/PA,1992,AL
2,0.0800131874466757,PA,1992,AL
3,0.07540034880901483,Playoffs,1992,AL
4,0.062384440984420746,K/9,1992,AL
5,0.05425719246839093,OBP,1992,AL
6,0.048610070790493835,G_pit,1992,AL
7,0.04734567044194878,RBI/PA,1992,AL
8,0.04279038039899474,SLG,1992,AL
9,0.04110061837404064,SV,1992,AL
0,0.41070316318787803,SLG,1993,AL
1,0.14201334332877624,R/PA,1993,AL
2,0.12160751007972143,AVG,1993,AL
3,0.07631475070887389,RBI/PA,1993,AL
4,0.07421690955091746,HR/PA,1993,AL
5,0.04855677152752546,PA,1993,AL
6,0.042798844943932816,OBP,1993,AL
7,0.0425882923107803,SB,1993,AL
8,0.018145934888344935,FP,1993,AL
9,0.005676888756222076,Pos_2B,1993,AL
0,0.39348806443005213,R/PA,1994,AL
1,0.18274162596063726,SLG,1994,AL
2,0.1676986393149208,AVG,1994,AL
3,0.05146867706757605,OBP,1994,AL
4,0.04337094093422757,HR/PA,1994,AL
5,0.037985812121590995,RBI/PA,1994,AL
6,0.027994883519643382,Pos_CF,1994,AL
7,0.022847516290830483,W_pit,1994,AL
8,0.01611286686802234,PA,1994,AL
9,0.013089375197365014,SB,1994,AL
0,0.3770176120952564,PA,1995,AL
1,0.1373788082414662,RBI/PA,1995,AL
2,0.09648305137522074,SLG,1995,AL
3,0.07565904458333568,FP,1995,AL
4,0.04909180174813667,R/PA,1995,AL
5,0.04584609153241367,SB,1995,AL
6,0.04144051741613542,Playoffs,1995,AL
7,0.02678954144115043,AVG,1995,AL
8,0.024491622780586947,OBP,1995,AL
9,0.0238410301307779,Pos_LF,1995,AL
0,0.33046140549377123,RBI/PA,1996,AL
1,0.3292505470775918,SLG,1996,AL
2,0.06128953128586035,Pos_1B,1996,AL
3,0.0530401098425642,FP,1996,AL
4,0.0437875788060679,R/PA,1996,AL
5,0.0353072918824776,AVG,1996,AL
6,0.03529583214381764,PA,1996,AL
7,0.032296929323808315,HR/PA,1996,AL
8,0.022738795715442586,SB,1996,AL
9,0.019522299823303987,OBP,1996,AL
0,0.45092857311551227,RBI/PA,1997,AL
1,0.10363471087143603,HR/PA,1997,AL
2,0.07647043192877497,SLG,1997,AL
3,0.06479180287785218,PA,1997,AL
4,0.05781887388075338,Pos_CF,1997,AL
5,0.05428527177582847,R/PA,1997,AL
6,0.028288925780315454,FP,1997,AL
7,0.028141453546725474,SV,1997,AL
8,0.027986846340488807,BB/9,1997,AL
9,0.020730664380660502,SB,1997,AL
0,0.2901742110809959,R/PA,1998,AL
1,0.2829827015740771,RBI/PA,1998,AL
2,0.15367815986957548,PA,1998,AL
3,0.08358348854996851,AVG,1998,AL
4,0.061047772353314614,SLG,1998,AL
5,0.029771844343986335,HR/PA,1998,AL
6,0.027046000761886742,FP,1998,AL
7,0.01730990227714343,SB,1998,AL
8,0.012740745976117263,OBP,1998,AL
9,0.010801504025550123,Pos_SS,1998,AL
0,0.16170875146655922,R/PA,1999,AL
1,0.14649736493841337,OBP,1999,AL
2,0.1332914781396684,FP,1999,AL
3,0.130183282222543,Playoffs,1999,AL
4,0.09979558583835763,AVG,1999,AL
5,0.06563292534476423,SLG,1999,AL
6,0.04556413596527818,Pos_C,1999,AL
7,0.041921071117560875,SB,1999,AL
8,0.03463871212042964,PA,1999,AL
9,0.03258150439367546,HR/PA,1999,AL
0,0.4145588647856737,SLG,2000,AL
1,0.21043087563812135,OBP,2000,AL
2,0.11448049752025424,HR/PA,2000,AL
3,0.0610649482503316,FP,2000,AL
4,0.04719078832319561,Pos_1B,2000,AL
5,0.029696647166124253,AVG,2000,AL
6,0.02829925733242202,RBI/PA,2000,AL
7,0.026787296105707882,R/PA,2000,AL
8,0.026618227509089872,PA,2000,AL
9,0.008172806446716824,Playoffs,2000,AL
0,0.4298407848429956,R/PA,2001,AL
1,0.41622064245921664,AVG,2001,AL
2,0.03505644518274023,SLG,2001,AL
3,0.026956252920781718,HR/PA,2001,AL
4,0.01760108425391587,OBP,2001,AL
5,0.01518078356984567,RBI/PA,2001,AL
6,0.013377337375729687,SB,2001,AL
7,0.00860555454297758,Pos_RF,2001,AL
8,0.007561005310247376,PA,2001,AL
9,0.005138836186209276,FP,2001,AL
0,0.33335169194419667,PA,2002,AL
1,0.13297553626294484,RBI/PA,2002,AL
2,0.13102741813421273,HR/PA,2002,AL
3,0.10221456555444829,R/PA,2002,AL
4,0.0858536937109132,SLG,2002,AL
5,0.04185915548737913,Pos_SS,2002,AL
6,0.03919272518820625,SB,2002,AL
7,0.02799789045764862,FP,2002,AL
8,0.02255447692642394,Playoffs,2002,AL
9,0.022387552487792527,AVG,2002,AL
0,0.24304497457618324,SLG,2003,AL
1,0.17573320095517264,RBI/PA,2003,AL
2,0.16542564810144814,OBP,2003,AL
3,0.11686600163985808,HR/PA,2003,AL
4,0.1072567158214354,R/PA,2003,AL
5,0.04042651038628256,Pos_LF,2003,AL
6,0.033782637955805724,AVG,2003,AL
7,0.025838150507910957,PA,2003,AL
8,0.02331047306819207,FP,2003,AL
9,0.02038899197749734,Pos_C,2003,AL
0,0.23171910270632376,RBI/PA,2004,AL
1,0.2309166822355557,SLG,2004,AL
2,0.20984346280627914,Pos_RF,2004,AL
3,0.08717191723800362,HR/PA,2004,AL
4,0.07568290920155968,PA,2004,AL
5,0.05317972710353262,R/PA,2004,AL
6,0.02829818140294399,AVG,2004,AL
7,0.025216848954739638,OBP,2004,AL
8,0.012994440415173943,Playoffs,2004,AL
9,0.011028191931122514,SB,2004,AL
0,0.5697278811258374,SLG,2005,AL
1,0.1573002015055982,HR/PA,2005,AL
2,0.09761733859042959,OBP,2005,AL
3,0.05831638174886851,R/PA,2005,AL
4,0.020519282229633794,Pos_RF,2005,AL
5,0.01883188707933022,PA,2005,AL
6,0.01613341170266498,RBI/PA,2005,AL
